"","Family","n_clusters"
"1","Acanthuridae",1
"2","Acaridae",4
"3","Acartophthalmidae",1
"4","Accipitridae",1
"5","Achatinidae",1
"6","Acipenseridae",1
"7","Acrididae",115
"8","Adelgidae",1
"9","Adelidae",6
"10","Aderidae",11
"11","Aeolothripidae",4
"12","Aeshnidae",3
"13","Agaonidae",2
"14","Agromyzidae",55
"15","Albuginaceae",1
"16","Aleyrodidae",318
"17","Alydidae",4
"18","Ambassidae",1
"19","Ameletidae",1
"20","Amphientomidae",7
"21","Amphipsocidae",62
"22","Anatidae",3
"23","Anguillidae",1
"24","Anisolabididae",1
"25","Anisopodidae",1
"26","Anthicidae",1
"27","Anthocoridae",10
"28","Anthomyiidae",58
"29","Anthribidae",18
"30","Anyphaenidae",1
"31","Anystidae",14
"32","Apataniidae",3
"33","Aphelinidae",45
"34","Aphididae",65
"35","Aphrophoridae",12
"36","Apidae",15
"37","Araneidae",27
"38","Arapaimidae",1
"39","Archaeidae",6
"40","Archipsocidae",7
"41","Argidae",1
"42","Argyresthiidae",3
"43","Artemiidae",7
"44","Arthrosphaeridae",3
"45","Ascidae",5
"46","Asilidae",6
"47","Atherinidae",1
"48","Attelabidae",1
"49","Autostichidae",1
"50","Baetidae",9
"51","Batrachedridae",2
"52","Bdellidae",9
"53","Bedelliidae",3
"54","Berytidae",3
"55","Bethylidae",154
"56","Bibionidae",4
"57","Biphyllidae",1
"58","Blaberidae",26
"59","Blastobasidae",7
"60","Blattidae",12
"61","Blattisociidae",7
"62","Blissidae",1
"63","Bolitophilidae",1
"64","Bostrichidae",7
"65","Bourletiellidae",86
"66","Bovidae",5
"67","Braconidae",1292
"68","Brentidae",4
"69","Brevitalitridae",17
"70","Bucculatricidae",4
"71","Bufonidae",1
"72","Buprestidae",5
"73","Buthidae",1
"74","Caeciliusidae",46
"75","Calliphoridae",14
"76","Caloppiidae",2
"77","Canacidae",1
"78","Canidae",1
"79","Cantharidae",9
"80","Canthocamptidae",1
"81","Capniidae",1
"82","Carabidae",50
"83","Carposinidae",1
"84","Cecidomyiidae",12122
"85","Cephalobaenidae",1
"86","Cerambycidae",26
"87","Ceraphronidae",240
"88","Ceratocombidae",9
"89","Ceratopogonidae",400
"90","Cercopidae",4
"91","Cervidae",1
"92","Chaetonotidae",3
"93","Chalcididae",1
"94","Chamaeleonidae",23
"95","Chaoboridae",2
"96","Cheiracanthiidae",6
"97","Cheirogaleidae",4
"98","Cheyletidae",4
"99","Chironomidae",595
"100","Chloropidae",98
"101","Chorotypidae",5
"102","Chrysididae",1
"103","Chrysomelidae",131
"104","Chrysopidae",6
"105","Chyromyidae",1
"106","Cicadellidae",303
"107","Cicadidae",2
"108","Cichlidae",4
"109","Cimicidae",1
"110","Cixiidae",9
"111","Cleridae",9
"112","Clubionidae",4
"113","Clupeidae",1
"114","Clusiidae",4
"115","Coccinellidae",17
"116","Coenagrionidae",1
"117","Coleophoridae",4
"118","Columbidae",1
"119","Coniopterygidae",12
"120","Copromorphidae",3
"121","Coreidae",3
"122","Corinnidae",2
"123","Corylophidae",13
"124","Cosmopterigidae",42
"125","Crabronidae",40
"126","Crambidae",77
"127","Cricetidae",3
"128","Cryptophagidae",3
"129","Cryptopidae",1
"130","Culicidae",48
"131","Curculionidae",101
"132","Cybaeidae",1
"133","Cyclopidae",1
"134","Cylindrotomidae",1
"135","Cymbaeremaeidae",1
"136","Cynipidae",4
"137","Cyphoderidae",13
"138","Cyprinidae",1
"139","Daphniidae",2
"140","Delphacidae",35
"141","Demodecidae",2
"142","Depressariidae",110
"143","Derbidae",1
"144","Dermestidae",6
"145","Diadocidiidae",1
"146","Diapriidae",268
"147","Diastatidae",1
"148","Dicroglossidae",1
"149","Dicyrtomidae",5
"150","Digamasellidae",4
"151","Dinidoridae",3
"152","Diplogyniidae",1
"153","Dolichopodidae",44
"154","Drepanidae",1
"155","Drosophilidae",70
"156","Dryadaulidae",2
"157","Dryinidae",28
"158","Dryomyzidae",1
"159","Dryophthoridae",2
"160","Dudgeoneidae",1
"161","Dytiscidae",1
"162","Ectobiidae",63
"163","Ectopsocidae",9
"164","Elachistidae",15
"165","Elateridae",14
"166","Embolemidae",2
"167","Empididae",26
"168","Encyrtidae",12
"169","Endomychidae",1
"170","Enicocephalidae",1
"171","Entomobryidae",179
"172","Epermeniidae",2
"173","Ephemeridae",1
"174","Ephydridae",13
"175","Epipsocidae",4
"176","Erebidae",143
"177","Eriocottidae",7
"178","Eriphiidae",1
"179","Erotylidae",7
"180","Erythracaridae",8
"181","Erythraeidae",36
"182","Estrildidae",1
"183","Eulophidae",244
"184","Eupleridae",1
"185","Eupodidae",9
"186","Eurytomidae",1
"187","Euteliidae",4
"188","Evaniidae",8
"189","Eviphididae",1
"190","Fanniidae",14
"191","Felidae",2
"192","Figitidae",106
"193","Flatidae",26
"194","Forficulidae",1
"195","Formicidae",1214
"196","Fringillidae",1
"197","Galumnidae",1
"198","Gasteruptiidae",1
"199","Gekkonidae",27
"200","Gelechiidae",95
"201","Geocoridae",1
"202","Geometridae",57
"203","Glyphipterigidae",5
"204","Gracillariidae",46
"205","Gryllacrididae",11
"206","Gryllidae",57
"207","Gryllotalpidae",1
"208","Haemadipsidae",18
"209","Haemulidae",3
"210","Heleomyzidae",12
"211","Hemerobiidae",3
"212","Hemileiidae",1
"213","Hemipsocidae",2
"214","Heptageniidae",2
"215","Hesperiidae",2
"216","Histeridae",2
"217","Hominidae",2
"218","Humerobatidae",1
"219","Hybotidae",47
"220","Hydrophilidae",5
"221","Hydropsychidae",1
"222","Hydroptilidae",3
"223","Hydryphantidae",1
"224","Hyperoliidae",1
"225","Hypsibiidae",1
"226","Ichneumonidae",793
"227","Immidae",15
"228","Incurvariidae",4
"229","Isotomidae",7
"230","Ixodidae",1
"231","Kalotermitidae",18
"232","Keroplatidae",34
"233","Labiduridae",3
"234","Lachesillidae",3
"235","Laelapidae",1
"236","Laemophloeidae",2
"237","Lasiocampidae",4
"238","Latridiidae",3
"239","Lauxaniidae",14
"240","Lebertiidae",2
"241","Lecithoceridae",51
"242","Leiodidae",1
"243","Lemuridae",1
"244","Lepidopsocidae",36
"245","Lepismatidae",3
"246","Leptoceridae",1
"247","Leptophlebiidae",1
"248","Leuctridae",4
"249","Libellulidae",1
"250","Limacodidae",1
"251","Limnephilidae",4
"252","Limoniidae",55
"253","Linyphiidae",17
"254","Liposcelididae",26
"255","Lonchaeidae",5
"256","Lumbricidae",2
"257","Lutjanidae",2
"258","Lycaenidae",5
"259","Lychnocolacidae",1
"260","Lycidae",5
"261","Lycosidae",10
"262","Lygaeidae",4
"263","Lymexylidae",1
"264","Lyonetiidae",5
"265","Macrobiotidae",1
"266","Macrochelidae",3
"267","Mantellidae",17
"268","Mantidae",7
"269","Mantispidae",2
"270","Marginidae",1
"271","Meenoplidae",20
"272","Megascolecidae",2
"273","Megaspilidae",3
"274","Melicharidae",2
"275","Meloidae",1
"276","Membracidae",1
"277","Mesembrinellidae",2
"278","Mesopsocidae",2
"279","Microgyniidae",1
"280","Microhylidae",6
"281","Micropezidae",11
"282","Microphysidae",2
"283","Micropterigidae",1
"284","Microtrombidiidae",2
"285","Milichiidae",11
"286","Mimetidae",1
"287","Miridae",67
"288","Mochlozetidae",1
"289","Mogoplistidae",1
"290","Molannidae",1
"291","Momphidae",1
"292","Mordellidae",54
"293","Muridae",2
"294","Muscicapidae",1
"295","Muscidae",173
"296","Mutillidae",6
"297","Mycetophagidae",4
"298","Mycetophilidae",224
"299","Mymaridae",144
"300","Myopsocidae",3
"301","Myrmeleontidae",1
"302","Mysmenidae",3
"303","Nanorchestidae",1
"304","Neanuridae",19
"305","Nemestrinidae",1
"306","Nemouridae",8
"307","Neoliodidae",4
"308","Nepticulidae",32
"309","Neriidae",2
"310","Nesticidae",5
"311","Nitidulidae",9
"312","Noctuidae",55
"313","Nogodinidae",3
"314","Nolidae",4
"315","Notodontidae",2
"316","Numididae",1
"317","Nymphalidae",41
"318","Ochyroceratidae",1
"319","Octochaetidae",3
"320","Oecobiidae",3
"321","Oecophoridae",17
"322","Oedemeridae",1
"323","Oligotomidae",18
"324","Olindiidae",1
"325","Onychiuridae",1
"326","Oppiidae",1
"327","Orchesellidae",6
"328","Oribatellidae",2
"329","Oribatulidae",3
"330","Oxyopidae",3
"331","Pachygronthidae",1
"332","Palpimanidae",1
"333","Paracaeciliidae",1
"334","Paradoxosomatidae",1
"335","Parasitidae",4
"336","Paronellidae",142
"337","Pediciidae",4
"338","Penaeidae",3
"339","Pentatomidae",7
"340","Perilampidae",1
"341","Peripsocidae",1
"342","Periscelididae",3
"343","Perlodidae",4
"344","Peronosporaceae",16
"345","Petrothrincidae",1
"346","Phalacridae",13
"347","Phalangiidae",4
"348","Phasianidae",3
"349","Phasmatidae",2
"350","Pheroliodidae",1
"351","Philodromidae",2
"352","Philopotamidae",5
"353","Phlaeothripidae",2
"354","Phocoenidae",1
"355","Pholcidae",6
"356","Phoridae",575
"357","Phthiracaridae",1
"358","Phylloscopidae",1
"359","Phytoseiidae",10
"360","Phyxelididae",1
"361","Pieridae",13
"362","Piophilidae",1
"363","Pipunculidae",21
"364","Pisauridae",6
"365","Platygastridae",679
"366","Platypezidae",1
"367","Platystomatidae",2
"368","Poeciliidae",1
"369","Polleniidae",3
"370","Polyaspididae",2
"371","Polycentropodidae",3
"372","Polyxenidae",1
"373","Pompilidae",51
"374","Porcellionidae",1
"375","Prionoglarididae",2
"376","Proctotrupidae",8
"377","Psenidae",2
"378","Pseudocaeciliidae",12
"379","Psilidae",3
"380","Psocidae",7
"381","Psoquillidae",2
"382","Psychidae",10
"383","Psychodidae",342
"384","Psyllidae",5
"385","Psyllipsocidae",1
"386","Pteromalidae",14
"387","Pterophoridae",12
"388","Ptiliidae",3
"389","Ptilodactylidae",1
"390","Ptiloneuridae",1
"391","Ptinidae",1
"392","Pulicidae",2
"393","Pycnonotidae",1
"394","Pygmephoridae",7
"395","Pyralidae",56
"396","Pyroglyphidae",2
"397","Pyrrhocoridae",2
"398","Pythiaceae",11
"399","Rallidae",1
"400","Ranidae",1
"401","Raphignathidae",1
"402","Reduviidae",14
"403","Rhabditidae",1
"404","Rhadalidae",38
"405","Rhagionidae",2
"406","Rhinodrilidae",1
"407","Rhinotermitidae",3
"408","Rhopalidae",1
"409","Rhyacophilidae",1
"410","Rhyparochromidae",12
"411","Ricaniidae",35
"412","Riodinidae",3
"413","Salamandridae",1
"414","Salticidae",10
"415","Saprolegniaceae",2
"416","Sarcophagidae",31
"417","Saturniidae",1
"418","Scarabaeidae",11
"419","Scaridae",1
"420","Scathophagidae",20
"421","Scatopsidae",9
"422","Scelionidae",12
"423","Scenopinidae",2
"424","Scheloribatidae",4
"425","Schizopteridae",2
"426","Sciaridae",1094
"427","Scincidae",2
"428","Sciomyzidae",4
"429","Scirtidae",4
"430","Sclerogibbidae",1
"431","Scoliidae",1
"432","Scombridae",1
"433","Scraptiidae",17
"434","Scutelleridae",1
"435","Scutoverticidae",1
"436","Scythrididae",3
"437","Scytodidae",4
"438","Selenopidae",1
"439","Sepsidae",8
"440","Serranidae",1
"441","Sesarmidae",1
"442","Sicariidae",1
"443","Signiphoridae",3
"444","Silvanidae",2
"445","Simuliidae",25
"446","Sisyridae",2
"447","Sminthuridae",5
"448","Sminthurididae",4
"449","Soricidae",1
"450","Sparassidae",2
"451","Sphaeroceridae",62
"452","Sphecidae",1
"453","Sphingidae",18
"454","Staphylinidae",63
"455","Stathmopodidae",4
"456","Stenopsocidae",1
"457","Stratiomyidae",19
"458","Suidae",2
"459","Syrphidae",44
"460","Tabanidae",36
"461","Tachinidae",73
"462","Tarsonemidae",4
"463","Tenebrionidae",35
"464","Tenthredinidae",31
"465","Tenuipalpidae",3
"466","Tephritidae",18
"467","Termitidae",73
"468","Tetragnathidae",2
"469","Tetrigidae",11
"470","Tettigoniidae",37
"471","Therevidae",2
"472","Theridiidae",30
"473","Thomisidae",5
"474","Threskiornithidae",1
"475","Thripidae",34
"476","Throscidae",1
"477","Tineidae",79
"478","Tingidae",4
"479","Tiphiidae",1
"480","Tipulidae",6
"481","Tonzidae",1
"482","Tortricidae",102
"483","Torymidae",2
"484","Trachelidae",5
"485","Trematuridae",1
"486","Trichoceridae",1
"487","Trichogrammatidae",27
"488","Trigonidiidae",12
"489","Triozidae",6
"490","Trogiidae",8
"491","Trombidiidae",4
"492","Tropiduchidae",3
"493","Tydeidae",6
"494","Uraniidae",3
"495","Urodinychidae",2
"496","Veliidae",1
"497","Veneridae",1
"498","Vespertilionidae",1
"499","Vespidae",7
"500","Viridasiidae",3
"501","Xylophagidae",1
"502","Xyloryctidae",3
"503","Yponomeutidae",1
"504","Ypsolophidae",2
"505","Zoarcidae",36
"506","Zodariidae",3
"507","Zopheridae",13
"508","Zosteropidae",1
