Taxon;Richness;length_min;length_max;reference;notes
Lepidoptera Immidae;245;5;14;(Capinera 2008);Data given as wingspan
Lepidoptera Incurvariidae;50;2;6;(Capinera 2008);Data given as wingspan
Lepidoptera Lacturidae;120;4;22;(Capinera 2008);Data given as wingspan
Lepidoptera Lasiocampidae;1952;10;92;(Capinera 2008);Data given as wingspan
Lepidoptera Lecithoceridae;1200;2;10;(Capinera 2008);Data given as wingspan
Lepidoptera Lemoniidae;21;9;28;(Capinera 2008);Data given as wingspan
Lepidoptera Limacodidae;1672;4;35;(Capinera 2008);Data given as wingspan
Lepidoptera Lycaenidae;5201;2;33;(Capinera 2008);Data given as wingspan
Lepidoptera Lymantriidae;2500;7;58;(Capinera 2008);Data given as wingspan
Lepidoptera Lyonetiidae;220;2;5;(Capinera 2008);Data given as wingspan, includes Bedelliidae
Lepidoptera Megalopygidae;232;5;44;(Capinera 2008);Data given as wingspan
Lepidoptera Micropterigidae;154;1;3;(Capinera 2008);Data given as wingspan
Lepidoptera Mimallonidae;194;10;28;(Capinera 2008);Data given as wingspan
Lepidoptera Mnesarchaeidae;7;2;4;(Capinera 2008);Data given as wingspan
Lepidoptera Momphidae;115;2;5;(Capinera 2008);Data given as wingspan
Lepidoptera Neopseustidae;14;3;6;(Capinera 2008);Data given as wingspan
Lepidoptera Nepticulidae;806;1;2;(Capinera 2008);Data given as wingspan
Lepidoptera Noctuidae;30579;3;154;(Arnett 2000)/(Ohl & Thiele 2007);Data given as wingspan
Lepidoptera Notodontidae;3800;9;57;(Capinera 2008);Data given as wingspan
Lepidoptera Nymphalidae;6131;6;56;(Arnett 2000)/(Hogue 1993);Data given as wingspan
Lepidoptera Oecophoridae;3304;2;30;(Capinera 2008);Data given as wingspan
Lepidoptera Opostegidae;192;1;6;(Capinera 2008);Data given as wingspan
Lepidoptera Palaephatidae;57;3;11;(Capinera 2008);Data given as wingspan
Lepidoptera Papilionidae;566;10;83;(Capinera 2008);Data given as wingspan
Lepidoptera Pieridae;1164;7;31;(Capinera 2008);Data given as wingspan
Lepidoptera Plutellidae;150;2;17;(Capinera 2008);Data given as wingspan
Lepidoptera Prodoxidae;98;2;11;(Capinera 2008);Data given as wingspan
Lepidoptera Prototheoridae;12;2;15;(Capinera 2008);Data given as wingspan
Lepidoptera Psychidae;1324;2;37;(Arnett 2000);Data given as wingspan
Lepidoptera Pterolonchidae;8;11;12;(Arnett 2000);Data given as wingspan
Lepidoptera Pterophoridae;1318;2;15;(Capinera 2008);Data given as wingspan
Lepidoptera Pyralidae;5921;4;67;(Resh & Cardé 2009);Data given as Forewing length, includes Crambidae
Lepidoptera Riodinidae;1532;8;13;(Arnett 2000);Data given as wingspan
Lepidoptera Roeslerstammiidae;53;4;8;(Capinera 2008);Data given as wingspan
Lepidoptera Saturniidae;2349;12;117;(Capinera 2008);Data given as wingspan
Lepidoptera Sematuridae;40;19;44;(Capinera 2008);Data given as wingspan
Lepidoptera Sesiidae;1397;5;34;(Resh & Cardé 2009);Data given as Forewing length
Lepidoptera Somabrachyidae;8;7;8;(Capinera 2008);Data given as wingspan
Lepidoptera Sphingidae;1461;11;94;(Capinera 2008);Data given as wingspan
Lepidoptera Thyrididae;940;4;42;(Capinera 2008);Data given as wingspan
Lepidoptera Tineidae;2093;2;21;(Capinera 2008);Data given as wingspan
Lepidoptera Tineodidae;19;7;16;(Capinera 2008);Data given as wingspan
Lepidoptera Tischeriidae;110;2;3;(Capinera 2008);Data given as wingspan
Lepidoptera Tortricidae;10387;3;24;(Capinera 2008);Data given as wingspan
Lepidoptera Uraniidae;686;10;50;(Capinera 2008);Data given as wingspan
Lepidoptera Urodidae;66;4;14;(Capinera 2008);Data given as wingspan
Lepidoptera Xyloryctidae;524;5;29;(Pohl et al. 2010)/(Zborowski & Edwards 2007);Data given as wingspan
Lepidoptera Yponomeutidae;363;2;11;(Resh & Cardé 2009);Data given as Forewing length
Lepidoptera Ypsolophidae;163;3;6;(Capinera 2008);Data given as wingspan
Lepidoptera Zygaenidae;1036;4;40;(Resh & Cardé 2009);Data given as Forewing length
Mantodea;2163;10;170;(Prete 1999);Represents Order
Mantophasmatodea;16;10;30;(Buder & Klass 2013);
Mecoptera Apteropanorpidae;1;5.5;11;(Palmer & Siebke 2008);
Mecoptera Bittacidae;214;14;34;(Parker 1982);
Mecoptera Boreidae;38;2;7.5;(Parker 1982);
Mecoptera Choristidae;12;11;14;(Riek 1973);Data as forewing length
Mecoptera Meropeidae;2;10;12;(Arnett 2000);
Mecoptera Nannochoristidae;9;5;9;(Byers 1989);Data given as wingspan
Mecoptera Panorpidae;480;9;25;(Arnett 2000);
Mecoptera Panorpodidae;19;7;17;(Byers 1990);
Megaloptera Corydalidae;200;20;80;(Arnett 2000);
Megaloptera Sialidae;70;13;18;(Arnett 2000);
Neuroptera Ascalaphidae;430;40;80;(Arnett 2000);
Neuroptera Berothidae;115;6;15;(Resh & Cardé 2009);Data given as Forewing length
Neuroptera Chrysopidae;1200;10;25;(Arnett 2000);
Neuroptera Coniopterygidae;450;2;3;(Arnett 2000);
Neuroptera Hemerobiidae;550;6;12;(Arnett 2000);
Neuroptera Ithonidae;53;21;40;(Arnett 2000);
Neuroptera Mantispidae;400;20;35;(Arnett 2000);
Neuroptera Myrmeleontidae;2100;40;80;(Arnett 2000);
Neuroptera Nemopteridae;100;15;35;(Resh & Cardé 2009);Data given as Forewing length
Neuroptera Nevrorthidae;12;6;10;(Resh & Cardé 2009);Data given as Forewing length
Neuroptera Nymphidae;35;18;40;(Resh & Cardé 2009);Data given as Forewing length
Neuroptera Osmylidae;160;15;30;(Resh & Cardé 2009);Data given as Forewing length
Neuroptera Polystoechotidae;4;35;75;(Arnett 2000);
Neuroptera Psychopsidae;26;10;35;(Resh & Cardé 2009);Data given as Forewing length
Neuroptera Sisyridae;50;6;8;(Arnett 2000);
Odonata Aeshnidae;428;50;100;(Garrison et al. 2006) ;Data given as wingspan
Odonata Austropetaliidae;11;57;86;(Garrison et al. 2006);
Odonata Chlorogomphidae;45;60;78;(Wilson undated);
Odonata Cordulegastridae;51;55;88;(Garrison et al. 2006);
Odonata Corduliidae;285;28;68;(Garrison et al. 2006);As subfamily of Libellulidae, Includes Synthemistidae
Odonata Gomphidae;945;25.5;90;(Garrison et al. 2006);
Odonata Libellulidae;970;17;63;(Garrison et al. 2006);
Odonata Macromiidae;123;56;91;(Garrison et al. 2006);As subfamily of Libellulidae
Odonata Neopetaliidae;1;57;58;(Garrison et al. 2006);
Odonata Petaluridae;11;54;88;(Garrison et al. 2006);
Odonata Epiophlebiidae;2;48;60;(Fleck et al. 2013);
Odonata Calopterygidae;172;45;60;(Esquivel 1997);
Odonata Chlorocyphidae;143;26;30;(Serrano-Meneses et al. 2008);
Odonata Chorismagrionidae;1;38;40;(Morton. 1914);
Odonata Coenagrionidae;1104;16;60;(Silsby 2001)/(Howarth & Mull 1992);
Odonata Diphlebiidae;9;45;55;(Stewart 1980);
Odonata Euphaeidae;68;26;38;(Hayashi 1990);
Odonata Hemiphlebiidae;1;23;25;(Rivera 2014);
Odonata Isostictidae;45;15;40;(Watson 1974);
Odonata Lestidae;150;40;75;(Esquivel 1997);
Odonata Megapodagrionidae;285;40;75;(Esquivel 1997);
Odonata Perilestidae;19;50;55;(Esquivel 1997);
Odonata Platycnemididae;222;40;50;(Silsby 2001);
Odonata Platystictidae;189;40;50;(Esquivel 1997);
Odonata Polythoridae;58;30;40;(Esquivel 1997);
Odonata Protoneuridae;240;30;35;(Esquivel 1997);
Odonata Pseudolestidae;NA;NA;NA;;
Odonata Pseudostigmatidae;19;80;120;(Esquivel 1997);
Odonata Synlestidae;33;35;60;(Picker et al. 2004);Data given as wingspan
Orthoptera Acrididae;6016;9;120;(Parker 1982);
Orthoptera Cylindrachetidae;16;35;75;(Günther 1992)/(Bailey 2007);
Orthoptera Eumastacoidae;645;10;45;(Arnett 2000);Includes Euschmidtiidae, Episactidae, Chorotypidae and Thericleidae
Orthoptera Lentulidae;35;12;25;(Parker 1982);
Orthoptera Pamphagidae;448;30;90;(Parker 1982);
Orthoptera Pneumoridae;17;11.5;100;(Parker 1982);
Orthoptera Proscopiidae;214;25;165;(Parker 1982);
Orthoptera Pyrgomorphidae;455;10;90;(Parker 1982);
Orthoptera Romaleidae;465;18;80;(Arnett 2000);
Orthoptera Tanaoceridae;3;10.3;25;(Parker 1982);
Orthoptera Tetrigidae;1246;6;16;(Arnett 2000);
Orthoptera Tridactylidae;201;4;15;(Naskrecki 2001);Includes Rhipipterygidae
Orthoptera Trigonopterygidae;16;29;40;(Ng et al. 2011);
Orthoptera Xyronotidae;4;17;30;(Parker 1982);
Orthoptera Anostostomatidae;206;20;80;(Pratt et al. 2008);
Orthoptera Gryllacrididae;675;7;50;(Arnett 2000);
Orthoptera Gryllidae;4664;4;50;(Otte & Alexander 1983);
Orthoptera Gryllotalpidae;100;20;40;(Arnett 2000);
Orthoptera Myrmecophilidae;8;2;4;(Arnett 2000);
Orthoptera Prophalangopsidae;71;17;30;(Walker 2013);
Orthoptera Rhaphidophoridae;497;10;30;(Richards 1968)/(Richards 1959);
Orthoptera Stenopelmatidae;28;30;50;(Arnett 2000);
Orthoptera Tettigoniidae;6827;5;90;(Rentz 2010);
Phasmatodea Agathemeridae;8;40;70;(Zompro 2004);
Phasmatodea Aschiphasmatidae;96;20;60;(Ng et al. 2011);
Phasmatodea Bacillidae;54;40;110;(Scali et al. 2012) /(Picker et al. 2004);
Phasmatodea Diapheromeridae;1210;17.5;140;(Zompro 1999)/ (Brock & Hasenpusch 2009);
Phasmatodea Heteropterygidae;103;20;150;(Ng et al. 2011);
Phasmatodea Phasmatidae;991;50;357;(Ng et al. 2011)/ (Hennemann & Conle 2008);
Phasmatodea Phylliidae;51;24;90;(Zompro 2001)/(Ng et al. 2011);
Phasmatodea Pseudophasmatoidea;406;17.5;250;(Zompro 1998)/(Picker et al. 2004);Includes Heteronemiidae
Phasmatodea Timematidae;21;12;25;(Arnett 2000);
Phthiraptera Boopidae;55;1.3;3.14;(Parker 1982);
Phthiraptera Gyropidae;93;0.8;1;(Parker 1982);
Phthiraptera Haematomyzidae;3;1.9;3;(Parker 1982);
Phthiraptera Heptapsogasteridae;130;0.81;4.44;(Parker 1982);
Phthiraptera Laemobothriidae;20;6.5;11;(Parker 1982);
Phthiraptera Menoponidae;1039;1.1;6;(Parker 1982);
Phthiraptera Philopteridae;2698;1.12;9.72;(Parker 1982);
Phthiraptera Ricinidae;109;1.6;5.5;(Parker 1982);
Phthiraptera Trichodectidae;362;0.92;2.73;(Parker 1982);
Phthiraptera Anoplura;446;0.5;5;(Arnett 2000);includes, Echinophthiriidae, Hoplopleuridae, Linognathidae, Pedicinidae, Pediculidae, Pthiridae and Polyplacidae
Plecoptera Austroperlidae;15;10;35;(Parker 1982);
Plecoptera Capniidae;287;3;25;(Parker 1982);
Plecoptera Chloroperlidae;187;6;40;(Parker 1982);
Plecoptera Diamphipnoidae;6;25;45;(Parker 1982);
Plecoptera Eustheniidae;23;15;35;(Parker 1982);
Plecoptera Gripopterygidae;270;5;25;(Michaelis et al. 2011);
Plecoptera Leuctridae;360;6;13;(Arnett 2000);
Plecoptera Nemouridae;674;6;15;(Arnett 2000);
Plecoptera Notonemouridae;118;5;8;(Picker et al. 2004);
Plecoptera Peltoperlidae;69;34;49;(Arnett 2000);
Plecoptera Perlidae;965;10;50;(Parker 1982);
Plecoptera Perlodidae;310;8;50;(Parker 1982);
Plecoptera Pteronarcyidae;12;38;63;(Arnett 2000);
Plecoptera Scopuridae;8;16;25;(Jin & Bae 2005);
Plecoptera Taeniopterygidae;103;10;25;(Arnett 2000);
Protura;712;0.6;2.5;(Arnett 2000);
Psocoptera Amphientomidae;100;2.3;5;(New & Lienhard 2007);
Psocoptera Amphipsocidae;180;2.8;5.5;(New & Lienhard 2007);
Psocoptera Archipsocidae;81;1.2;1.8;(New & Lienhard 2007);
Psocoptera Caeciliusidae;566;2.5;4.5;(New & Lienhard 2007);
Psocoptera Calopsocidae;34;4.3;7;(New & Lienhard 2007);
Psocoptera Ectopsocidae;177;2;2.5;(New & Lienhard 2007);
Psocoptera Elipsocidae;129;2;2.6;(New & Lienhard 2007);
Psocoptera Epipsocidae;138;2.5;5.7;(New & Lienhard 2007);
Psocoptera Hemipsocidae;24;2.5;2.8;(New & Lienhard 2007);
Psocoptera Lachesillidae;271;1.8;2.2;(New & Lienhard 2007);
Psocoptera Lepidopsocidae;206;2;2.5;(New & Lienhard 2007);
Psocoptera Liposcelididae;181;1;1.5;(New & Lienhard 2007);
Psocoptera Mesopsocidae;75;3.8;4.2;(New & Lienhard 2007);
Psocoptera Myopsocidae;159;3;5;(Arnett 2000);
Psocoptera Pachytroctidae;87;1.4;1.8;(New & Lienhard 2007);
Psocoptera Peripsocidae;235;2;4;(New & Lienhard 2007);
Psocoptera Philotarsidae;111;2.2;3.8;(New & Lienhard 2007);
Psocoptera Prionoglarididae;7;3;3.4;(New & Lienhard 2007);
Psocoptera Pseudocaeciliidae;899;2.5;8;(New & Lienhard 2007);
Psocoptera Psilopsocidae;300;1.9;3.2;(New & Lienhard 2007);
Psocoptera Psocidae;7;3.2;5.4;(New & Lienhard 2007);
Psocoptera Psoquillidae;27;1.1;2;(New & Lienhard 2007);
Psocoptera Psyllipsocidae;26;1.3;2;(New & Lienhard 2007);
Psocoptera Stenopsocidae;95;3.5;4.5;(New & Lienhard 2007);
Psocoptera Trichopsocidae;11;2;2.5;(Arnett 2000);
Psocoptera Troctopsocidae;22;1.4;4.1;(New & Lienhard 2007);
Psocoptera Trogiidae;52;1.6;2.5;(New & Lienhard 2007);
Raphidioptera ;225;5;20;(Resh & Cardé 2009);Data as Forewing length
Siphonaptera ;2078;1;10;(Whiting et al. 2008);Represents “Order”
Strepsiptera;590;1;7.5;(Parker 1982);
Thysanoptera Aeolothripidae;201;1.4;2.6;(Treherne 1919);
Thysanoptera Heterothripidae;76;0.6;1.5;(Retana-Salazar 2009);
Thysanoptera Phlaeothripidae;3532;2;14;(Lewis 1973);
Thysanoptera Thripidae;2066;1;3;(Arnett 2000);
Trichoptera Anomalopsychidae;27;4;8;(Holzenthal & Flint Jr 1995);
Trichoptera Apataniidae;203;4;13;(Ivanov & Menshutkina 1996);Data as Forewing length
Trichoptera Atriplectididae;6;7;10;(Neboiss 1986);Data as wingspan
Trichoptera Beraeidae;57;4;5;(Arnett 2000);
Trichoptera Brachycentridae;111;6;11;(Arnett 2000);
Trichoptera Calamoceratidae;182;6;10;(Neboiss 1986);Data as wingspan
Trichoptera Calocidae;23;2;10;(Arnett 2000) /(Neboiss 1986);Data as wingspan
Trichoptera Chathamiidae;5;6;9;(Neboiss 1986);Data as wingspan
Trichoptera Conoesucidae;43;4;10;(Neboiss 1986);Data as wingspan
Trichoptera Dipseudopsidae;114;4;14;(Olah & Johanson 2010);Data as forewing length
Trichoptera Ecnomidae;469;2;7;(Neboiss 1986);Data as wingspan
Trichoptera Glossosomatidae;682;3;10;(Neboiss 1986);Data as wingspan
Trichoptera Goeridae;184;4;10;(Parker 1998)/(Greenhalgh & Ovenden 2004) ;Data as forewing length
Trichoptera Helicophidae;44;3;6;(Neboiss 1986);Data as wingspan
Trichoptera Helicopsychidae;269;4;6;(Neboiss 1986);Data as wingspan
Trichoptera Hydrobiosidae;407;4;13;(Neboiss 1986);Data as wingspan
Trichoptera Hydropsychidae;1808;3;21;(Neboiss 1986) /(Picker et al. 2004);Data as wingspan
Trichoptera Hydroptilidae;2124;1.5;4;(Neboiss 1986);Data as wingspan
Trichoptera Kokiriidae;15;5;9;(Neboiss 1986);Data as wingspan
Trichoptera Lepidostomatidae;471;8;10;(Arnett 2000);
Trichoptera Leptoceridae;2020;4;15;(Neboiss 1986);Data as wingspan
Trichoptera Limnephilidae;880;7;23;(Neboiss 1986);Data as wingspan
Trichoptera Limnocentropodidae;15;10;12;(Wiggins 1956);Synonym Kitagamiidae, Data as wingspan
Trichoptera Molannidae;41;10;17;(Arnett 2000);
Trichoptera Odontoceridae;154;5;14;(Neboiss 1986)/(Arnett 2000);Minimum as wingspan/ body length
Trichoptera Oeconesidae;18;12;16;(Neboiss 1986);Data as wingspan
Trichoptera Philopotamidae;1168;6;9;(Neboiss 1986);Data as wingspan
Trichoptera Philorheithridae;30;6;13;(Neboiss 1986);Data as wingspan
Trichoptera Phryganeidae;84;12;28;(Wiggins 1998);Data as forewing length
Trichoptera Pisuliidae;19;6;19;(Morse 1974)/ (Picker et al. 2004);Maximum as wingspan
Trichoptera Polycentropodidae;806;5;10;(Neboiss 1986);Data as wingspan
Trichoptera Psychomyiidae;522;4;6;(Arnett 2000);
Trichoptera Rhyacophilidae;774;8;13;(Arnett 2000);
Trichoptera Sericostomatidae;107;8;14;(Picker et al. 2004);Data as wingspan
Trichoptera Stenopsychidae;94;6;12;(Neboiss 1986);Data as wingspan
Trichoptera Tasimiidae;9;4;6;(Neboiss 1986);Data as wingspan
Trichoptera Uenoidae;31;7;9;(Houghton 2012);Data given as forewing length
Trichoptera Xiphocentronidae;172;3;4;(Munoz-Quesada & Holzenthal 1997);Data given as forewing length
Zoraptera;35;2;3;(Parker 1982);
Zygentoma Lepidotrichidae;1;12;14;(Arnett 2000)/(Resh & Cardé 2009);
Zygentoma Lepismatidae;200;8;20;(Arnett 2000);
Zygentoma Nicoletiidae;30;4;29;(Arnett 2000)/(Espinasa et al. 2013);